what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907714130
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907718864
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1515907718879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907722475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907731521
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907737308
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907776147
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1515907783134
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907785193
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907791374
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907796672
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907815263
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1515907820615
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907823623
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907834957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907840691
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1515907859293
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907860014
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1515907860660
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1515907861145
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1515907861395
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515907861430
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515907861476
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1515907862000
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1515907862247
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1515907872336
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1515907901600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907904459
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907906717
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907912272
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907912473
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1515907928570
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907932551
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907948597
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515907948681
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515907948712
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1515907953671
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907956283
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515907957813
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907957866
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1515907957866
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907963581
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1515907967544
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1515907967611
